season_id,episode_id,scene_id,utterance_id,speaker,emotion,tokens,sentences
tst,e01,c04,u001,Ross Geller,angry,"[['I', ""'m"", 'supposed', 'to', 'attach', 'a', 'brackety', 'thing', 'to', 'the', 'side', 'things', ',', 'using', 'a', 'bunch', 'of', 'these', 'little', 'worm', 'guys', '.'], ['I', 'have', 'no', 'brackety', 'thing', ',', 'I', 'see', 'no', 'whim', 'guys', 'whatsoever', 'and', '-', 'I', 'can', 'not', 'feel', 'my', 'legs', '.']]","I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
tst,e01,c04,u003,Joey Tribbiani,neutral,"[['I', ""'m"", 'thinking', 'we', ""'ve"", 'got', 'a', 'bookcase', 'here', '.']]",I'm thinking we've got a bookcase here.
tst,e01,c04,u004,Chandler Bing,joy,"[['It', ""'s"", 'a', 'beautiful', 'thing', '.']]",It's a beautiful thing.
tst,e01,c04,u005,Joey Tribbiani,neutral,"[['What', ""'s"", 'this', '?']]",What's this?
tst,e01,c04,u006,Chandler Bing,neutral,"[['I', 'would', 'have', 'to', 'say', 'that', 'is', 'an', ""'"", ""L'"", '-', 'shaped', 'bracket', '.']]",I would have to say that is an 'L'-shaped bracket.
tst,e01,c04,u007,Joey Tribbiani,neutral,"[['Which', 'goes', 'where', '?']]",Which goes where?
tst,e01,c04,u008,Chandler Bing,scared,"[['I', 'have', 'no', 'idea', '.']]",I have no idea.
tst,e01,c04,u010,Joey Tribbiani,joy,"[['Done', 'with', 'the', 'bookcase', '!']]",Done with the bookcase!
tst,e01,c04,u011,Chandler Bing,joy,"[['All', 'finished', '!']]",All finished!
tst,e01,c04,u012,Ross Geller,sad,"[['This', 'was', 'Carol', ""'s"", 'favorite', 'beer', '.'], ['She', 'always', 'drank', 'it', 'out', 'of', 'the', 'can', ',', 'I', 'should', 'have', 'known', '.']]","This was Carol's favorite beer. She always drank it out of the can, I should have known."
tst,e01,c04,u013,Joey Tribbiani,angry,"[['Hey', '-', 'hey', '-', 'hey', '-', 'hey', ',', 'if', 'you', ""'re"", 'gon', 'na', 'start', 'with', 'that', 'stuff', 'we', ""'re"", 'outta', 'here', '.']]","Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
tst,e01,c04,u014,Chandler Bing,scared,"[['Yes', ',', 'please', 'do', ""n't"", 'spoil', 'all', 'this', 'fun', '.']]","Yes, please don't spoil all this fun."
tst,e01,c04,u015,Joey Tribbiani,neutral,"[['Ross', ',', 'let', 'me', 'ask', 'you', 'a', 'question', '.'], ['She', 'got', 'the', 'furniture', ',', 'the', 'stereo', ',', 'the', 'good', 'TV', '-', 'what', 'did', 'you', 'get', '?']]","Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
tst,e01,c04,u016,Ross Geller,sad,"[['You', 'guys', '.']]",You guys.
tst,e01,c04,u017,Chandler Bing,sad,"[['Oh', ',', 'God', '.']]","Oh, God."
tst,e01,c04,u018,Joey Tribbiani,angry,"[['You', 'got', 'screwed', '.']]",You got screwed.
tst,e01,c04,u019,Chandler Bing,angry,"[['Oh', 'my', 'God', '!']]",Oh my God!
tst,e01,c05,u001,Monica Geller,angry,"[['Oh', 'my', 'God', '!']]",Oh my God!
tst,e01,c05,u002,Paul the Wine Guy,sad,"[['I', 'know', ',', 'I', 'know', ',', 'I', ""'m"", 'such', 'an', 'idiot', '.'], ['I', 'guess', 'I', 'should', 'have', 'caught', 'on', 'when', 'she', 'started', 'going', 'to', 'the', 'dentist', 'four', 'and', 'five', 'times', 'a', 'week', '.'], ['I', 'mean', ',', 'how', 'clean', 'can', 'teeth', 'get', '?']]","I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?"
tst,e01,c05,u003,Monica Geller,sad,"[['My', 'brother', ""'s"", 'going', 'through', 'that', 'right', 'now', ',', 'he', ""'s"", 'such', 'a', 'mess', '.'], ['How', 'did', 'you', 'get', 'through', 'it', '?']]","My brother's going through that right now, he's such a mess. How did you get through it?"
tst,e01,c05,u004,Paul the Wine Guy,powerful,"[['Well', ',', 'you', 'might', 'try', 'accidentally', 'breaking', 'something', 'valuable', 'of', 'hers', ',', 'say', 'her', '-']]","Well, you might try accidentally breaking something valuable of hers, say her-"
tst,e01,c05,u005,Monica Geller,joy,"[['-', 'leg', '?']]",-leg?
tst,e01,c05,u006,Paul the Wine Guy,joy,"[['That', ""'s"", 'one', 'way', '!'], ['Me', ',', 'I', '-', 'I', 'went', 'for', 'the', 'watch', '.']]","That's one way! Me, I- I went for the watch."
tst,e01,c05,u007,Monica Geller,powerful,"[['You', 'actually', 'broke', 'her', 'watch', '?'], ['Wow', '!'], ['The', 'worst', 'thing', 'I', 'ever', 'did', 'was', ',', 'I', '-', 'I', 'shredded', 'by', 'boyfriend', ""'s"", 'favorite', 'bath', 'towel', '.']]","You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
tst,e01,c05,u008,Paul the Wine Guy,peaceful,"[['Ooh', ',', 'steer', 'clear', 'of', 'you', '.']]","Ooh, steer clear of you."
tst,e01,c05,u009,Monica Geller,powerful,"[['That', ""'s"", 'right', '.']]",That's right.
tst,e01,c07,u001,Ross Geller,sad,"[['I', ""'m"", 'divorced', '!'], ['I', ""'m"", 'only', '26', 'and', 'I', ""'m"", 'divorced', '!']]",I'm divorced! I'm only 26 and I'm divorced!
tst,e01,c07,u002,Joey Tribbiani,angry,"[['Shut', 'up', '!']]",Shut up!
tst,e01,c07,u003,Chandler Bing,angry,"[['You', 'must', 'stop', '!']]",You must stop!
tst,e01,c07,u004,Ross Geller,sad,"[['That', 'only', 'took', 'me', 'an', 'hour', '.']]",That only took me an hour.
tst,e01,c07,u005,Chandler Bing,sad,"[['Look', ',', 'Ross', ',', 'you', 'got', 'ta', 'understand', ',', 'between', 'us', 'we', 'have', ""n't"", 'had', 'a', 'relationship', 'that', 'has', 'lasted', 'longer', 'than', 'a', 'Mento', '.'], ['You', ',', 'however', 'have', 'had', 'the', 'love', 'of', 'a', 'woman', 'for', 'four', 'years', '.'], ['Four', 'years', 'of', 'closeness', 'and', 'sharing', 'at', 'the', 'end', 'of', 'which', 'she', 'ripped', 'your', 'heart', 'out', ',', 'and', 'that', 'is', 'why', 'we', 'do', ""n't"", 'do', 'it', '!'], ['I', 'do', ""n't"", 'think', 'that', 'was', 'my', 'point', '!']]","Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
tst,e01,c07,u006,Ross Geller,scared,"[['You', 'know', 'what', 'the', 'scariest', 'part', 'is', '?'], ['What', 'if', 'there', ""'s"", 'only', 'one', 'woman', 'for', 'everybody', ',', ""y'know"", '?'], ['I', 'mean', 'what', 'if', 'you', 'get', 'one', 'woman', '-', 'and', 'that', ""'s"", 'it', '?'], ['Unfortunately', 'in', 'my', 'case', ',', 'there', 'was', 'only', 'one', 'woman', '-', 'for', 'her', '...']]","You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
tst,e01,c07,u007,Joey Tribbiani,powerful,"[['What', 'are', 'you', 'talking', 'about', '?'], [""'"", 'One', 'woman', ""'"", '?'], ['That', ""'s"", 'like', 'saying', 'there', ""'s"", 'only', 'one', 'flavor', 'of', 'ice', 'cream', 'for', 'you', '.'], ['Lem', 'me', 'tell', 'you', 'something', ',', 'Ross', '.'], ['There', ""'s"", 'lots', 'of', 'flavors', 'out', 'there', '.'], ['There', ""'s"", 'Rocky', 'Road', ',', 'and', 'Cookie', 'Dough', ',', 'and', 'Bing', '!'], ['Cherry', 'Vanilla', '.'], ['You', 'could', 'get', ""'"", 'em', 'with', 'Jimmies', ',', 'or', 'nuts', ',', 'or', 'whipped', 'cream', '!'], ['This', 'is', 'the', 'best', 'thing', 'that', 'ever', 'happened', 'to', 'you', '!'], ['You', 'got', 'married', ',', 'you', 'were', ',', 'like', ',', 'what', ',', 'eight', '?'], ['Welcome', 'back', 'to', 'the', 'world', '!'], ['Grab', 'a', 'spoon', '!']]","What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
tst,e01,c07,u008,Ross Geller,scared,"[['I', 'honestly', 'do', ""n't"", 'know', 'if', 'I', ""'m"", 'hungry', 'or', 'horny', '.']]",I honestly don't know if I'm hungry or horny.
tst,e01,c07,u009,Chandler Bing,angry,"[['Stay', 'out', 'of', 'my', 'freezer', '!']]",Stay out of my freezer!
tst,e01,c08,u001,Paul the Wine Guy,sad,"[['Ever', 'since', 'she', 'walked', 'out', 'on', 'me', ',', 'I', ',', 'uh', '...']]","Ever since she walked out on me, I, uh..."
tst,e01,c08,u002,Monica Geller,neutral,"[['What', '?.....'], ['What', ',', 'you', 'wan', 'na', 'spell', 'it', 'out', 'with', 'noodles', '?']]","What?..... What, you wanna spell it out with noodles?"
tst,e01,c08,u003,Paul the Wine Guy,sad,"[['No', ',', 'it', ""'s"", ',', 'it', ""'s"", 'more', 'of', 'a', 'fifth', 'date', 'kinda', 'revelation', '.']]","No, it's, it's more of a fifth date kinda revelation."
tst,e01,c08,u004,Monica Geller,neutral,"[['Oh', ',', 'so', 'there', 'is', 'gon', 'na', 'be', 'a', 'fifth', 'date', '?']]","Oh, so there is gonna be a fifth date?"
tst,e01,c08,u005,Paul the Wine Guy,scared,"[['Is', ""n't"", 'there', '?']]",Isn't there?
tst,e01,c08,u006,Monica Geller,neutral,"[['Yeah', '...'], ['yeah', ',', 'I', 'think', 'there', 'is', '.'], ['-', 'What', 'were', 'you', 'gon', 'na', 'say', '?']]","Yeah... yeah, I think there is. -What were you gonna say?"
tst,e01,c08,u007,Paul the Wine Guy,sad,"[['Well', ',', 'ever', '-', 'ev', '-', '...'], ['ever', 'since', 'she', 'left', 'me', ',', 'um', ',', 'I', 'have', ""n't"", 'been', 'able', 'to', ',', 'uh', ',', 'perform', '.'], ['...'], ['Sexually', '.']]","Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually."
tst,e01,c08,u008,Monica Geller,neutral,"[['Oh', 'God', ',', 'oh', 'God', ',', 'I', 'am', 'sorry', '...'], ['I', 'am', 'so', 'sorry', '...']]","Oh God, oh God, I am sorry... I am so sorry..."
tst,e01,c08,u009,Paul the Wine Guy,sad,"[['It', ""'s"", 'okay', '...']]",It's okay...
tst,e01,c08,u010,Monica Geller,neutral,"[['I', 'know', 'being', 'spit', 'on', 'is', 'probably', 'not', 'what', 'you', 'need', 'right', 'now', '.'], ['Um', '...'], ['how', 'long', '?']]",I know being spit on is probably not what you need right now. Um... how long?
tst,e01,c08,u011,Paul the Wine Guy,neutral,"[['Two', 'years', '.']]",Two years.
tst,e01,c08,u012,Monica Geller,joy,"[['Wow', '!'], ['I', ""'m"", '-', 'I', ""'m"", '-', 'I', ""'m"", 'glad', 'you', 'smashed', 'her', 'watch', '!']]",Wow! I'm-I'm-I'm glad you smashed her watch!
tst,e01,c08,u013,Paul the Wine Guy,neutral,"[['So', 'you', 'still', 'think', 'you', ',', 'um', '...'], ['might', 'want', 'that', 'fifth', 'date', '?']]","So you still think you, um... might want that fifth date?"
tst,e01,c08,u014,Monica Geller,neutral,"[['...'], ['Yeah', '.'], ['Yeah', ',', 'I', 'do', '.']]","...Yeah. Yeah, I do."
tst,e01,c10,u001,Ross Geller,peaceful,"[['Grab', 'a', 'spoon', '.'], ['Do', 'you', 'know', 'how', 'long', 'it', ""'s"", 'been', 'since', 'I', ""'ve"", 'grabbed', 'a', 'spoon', '?'], ['Do', 'the', 'words', ""'"", 'Billy', ',', 'do', ""n't"", 'be', 'a', 'hero', ""'"", 'mean', 'anything', 'to', 'you', '?']]","Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
tst,e01,c10,u002,Joey Tribbiani,scared,"[['Great', 'story', '!'], ['But', ',', 'I', 'uh', ',', 'I', 'got', 'ta', 'go', ',', 'I', 'got', 'a', 'date', 'with', 'Andrea', '--', 'Angela', '--', 'Andrea', '...'], ['Oh', 'man', ',']]","Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
tst,e01,c10,u003,Chandler Bing,joy,"[['Angela', ""'s"", 'the', 'screamer', ',', 'Andrea', 'has', 'cats', '.']]","Angela's the screamer, Andrea has cats."
tst,e01,c10,u004,Joey Tribbiani,peaceful,"[['Right', '.'], ['Thanks', '.'], ['It', ""'s"", 'June', '.'], ['I', ""'m"", 'outta', 'here', '.']]",Right. Thanks. It's June. I'm outta here.
